id,name
No_Drivers+Middle_Income+Urban+Compact+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Urban, Class = Compact, Technology = BEV 300"
No_Drivers+Middle_Income+Urban+Midsize+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Urban, Class = Midsize, Technology = BEV 100"
No_Drivers+Middle_Income+Urban+Midsize+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Urban, Class = Midsize, Technology = BEV 300"
No_Drivers+Middle_Income+Urban+SUV+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Urban, Class = SUV, Technology = BEV 100"
No_Drivers+Middle_Income+Urban+SUV+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Urban, Class = SUV, Technology = BEV 300"
No_Drivers+Middle_Income+Urban+Pickup+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Urban, Class = Pickup, Technology = BEV 100"
No_Drivers+Middle_Income+Urban+Pickup+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Urban, Class = Pickup, Technology = BEV 300"
No_Drivers+Middle_Income+Suburban+Compact+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Suburban, Class = Compact, Technology = BEV 100"
No_Drivers+Middle_Income+Suburban+Compact+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Suburban, Class = Compact, Technology = BEV 300"
No_Drivers+Middle_Income+Suburban+Midsize+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Suburban, Class = Midsize, Technology = BEV 100"
No_Drivers+Middle_Income+Suburban+Midsize+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Suburban, Class = Midsize, Technology = BEV 300"
No_Drivers+Middle_Income+Suburban+SUV+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Suburban, Class = SUV, Technology = BEV 100"
No_Drivers+Middle_Income+Suburban+SUV+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Suburban, Class = SUV, Technology = BEV 300"
No_Drivers+Middle_Income+Suburban+Pickup+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Suburban, Class = Pickup, Technology = BEV 100"
No_Drivers+Middle_Income+Suburban+Pickup+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Suburban, Class = Pickup, Technology = BEV 300"
No_Drivers+Middle_Income+Second_City+Compact+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Second City, Class = Compact, Technology = BEV 100"
No_Drivers+Middle_Income+Second_City+Compact+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Second City, Class = Compact, Technology = BEV 300"
No_Drivers+Middle_Income+Second_City+Midsize+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Second City, Class = Midsize, Technology = BEV 100"
No_Drivers+Middle_Income+Second_City+Midsize+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Second City, Class = Midsize, Technology = BEV 300"
No_Drivers+Middle_Income+Second_City+SUV+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Second City, Class = SUV, Technology = BEV 100"
No_Drivers+Middle_Income+Second_City+SUV+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Second City, Class = SUV, Technology = BEV 300"
No_Drivers+Middle_Income+Second_City+Pickup+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Second City, Class = Pickup, Technology = BEV 100"
No_Drivers+Middle_Income+Second_City+Pickup+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Second City, Class = Pickup, Technology = BEV 300"
No_Drivers+Middle_Income+Small_Town+Compact+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Small Town, Class = Compact, Technology = BEV 100"
No_Drivers+Middle_Income+Small_Town+Compact+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Small Town, Class = Compact, Technology = BEV 300"
No_Drivers+Middle_Income+Small_Town+Midsize+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Small Town, Class = Midsize, Technology = BEV 100"
No_Drivers+Middle_Income+Small_Town+Midsize+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Small Town, Class = Midsize, Technology = BEV 300"
No_Drivers+Middle_Income+Small_Town+SUV+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Small Town, Class = SUV, Technology = BEV 100"
No_Drivers+Middle_Income+Small_Town+SUV+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Small Town, Class = SUV, Technology = BEV 300"
No_Drivers+Middle_Income+Small_Town+Pickup+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Small Town, Class = Pickup, Technology = BEV 100"
No_Drivers+Middle_Income+Small_Town+Pickup+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Small Town, Class = Pickup, Technology = BEV 300"
No_Drivers+Middle_Income+Rural+Compact+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Rural, Class = Compact, Technology = BEV 100"
No_Drivers+Middle_Income+Rural+Compact+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Rural, Class = Compact, Technology = BEV 300"
No_Drivers+Middle_Income+Rural+Midsize+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Rural, Class = Midsize, Technology = BEV 100"
No_Drivers+Middle_Income+Rural+Midsize+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Rural, Class = Midsize, Technology = BEV 300"
No_Drivers+Middle_Income+Rural+SUV+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Rural, Class = SUV, Technology = BEV 100"
No_Drivers+Middle_Income+Rural+SUV+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Rural, Class = SUV, Technology = BEV 300"
No_Drivers+Middle_Income+Rural+Pickup+BEV_100,"Composition = No Drivers, Income = Middle Income, Urbanity = Rural, Class = Pickup, Technology = BEV 100"
No_Drivers+Middle_Income+Rural+Pickup+BEV_300,"Composition = No Drivers, Income = Middle Income, Urbanity = Rural, Class = Pickup, Technology = BEV 300"
No_Drivers+High_Income+Urban+Compact+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Urban, Class = Compact, Technology = BEV 100"
No_Drivers+High_Income+Urban+Compact+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Urban, Class = Compact, Technology = BEV 300"
No_Drivers+High_Income+Urban+Midsize+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Urban, Class = Midsize, Technology = BEV 100"
No_Drivers+High_Income+Urban+Midsize+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Urban, Class = Midsize, Technology = BEV 300"
No_Drivers+High_Income+Urban+SUV+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Urban, Class = SUV, Technology = BEV 100"
No_Drivers+High_Income+Urban+SUV+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Urban, Class = SUV, Technology = BEV 300"
No_Drivers+High_Income+Urban+Pickup+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Urban, Class = Pickup, Technology = BEV 100"
No_Drivers+High_Income+Urban+Pickup+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Urban, Class = Pickup, Technology = BEV 300"
No_Drivers+High_Income+Suburban+Compact+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Suburban, Class = Compact, Technology = BEV 100"
No_Drivers+High_Income+Suburban+Compact+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Suburban, Class = Compact, Technology = BEV 300"
No_Drivers+High_Income+Suburban+Midsize+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Suburban, Class = Midsize, Technology = BEV 100"
No_Drivers+High_Income+Suburban+Midsize+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Suburban, Class = Midsize, Technology = BEV 300"
No_Drivers+High_Income+Suburban+SUV+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Suburban, Class = SUV, Technology = BEV 100"
No_Drivers+High_Income+Suburban+SUV+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Suburban, Class = SUV, Technology = BEV 300"
No_Drivers+High_Income+Suburban+Pickup+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Suburban, Class = Pickup, Technology = BEV 100"
No_Drivers+High_Income+Suburban+Pickup+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Suburban, Class = Pickup, Technology = BEV 300"
No_Drivers+High_Income+Second_City+Compact+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Second City, Class = Compact, Technology = BEV 100"
No_Drivers+High_Income+Second_City+Compact+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Second City, Class = Compact, Technology = BEV 300"
No_Drivers+High_Income+Second_City+Midsize+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Second City, Class = Midsize, Technology = BEV 100"
No_Drivers+High_Income+Second_City+Midsize+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Second City, Class = Midsize, Technology = BEV 300"
No_Drivers+High_Income+Second_City+SUV+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Second City, Class = SUV, Technology = BEV 100"
No_Drivers+High_Income+Second_City+SUV+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Second City, Class = SUV, Technology = BEV 300"
No_Drivers+High_Income+Second_City+Pickup+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Second City, Class = Pickup, Technology = BEV 100"
No_Drivers+High_Income+Second_City+Pickup+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Second City, Class = Pickup, Technology = BEV 300"
No_Drivers+High_Income+Small_Town+Compact+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Small Town, Class = Compact, Technology = BEV 100"
No_Drivers+High_Income+Small_Town+Compact+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Small Town, Class = Compact, Technology = BEV 300"
No_Drivers+High_Income+Small_Town+Midsize+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Small Town, Class = Midsize, Technology = BEV 100"
No_Drivers+High_Income+Small_Town+Midsize+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Small Town, Class = Midsize, Technology = BEV 300"
No_Drivers+High_Income+Small_Town+SUV+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Small Town, Class = SUV, Technology = BEV 100"
